"name","state","state_code","type","degree_length","room_and_board","in_state_tuition","in_state_total","out_of_state_tuition","out_of_state_total"
"Indiana State University","Indiana","IN","Public","4 Year",10.59,9.09,19680,19836,30426
"Indiana University Bloomington","Indiana","IN","Public","4 Year",10.465,10.681,21146,35456,45921
"Indiana University of Pennsylvania","Pennsylvania","PA","Public","4 Year",12.592,12.979,25571,17299,29891
"Indiana University South Bend","Indiana","IN","Public","4 Year",7.309,7.344,14653,19400,26709
"Indiana University Southeast","Indiana","IN","Public","4 Year",6.78,7.344,14124,19400,26180
"Indiana University-Purdue University Fort Wayne","Indiana","IN","Public","4 Year",5.996,8.45,14446,20288,26284
"Indiana University-Purdue University Indianapolis","Indiana","IN","Public","4 Year",8.924,9.465,18389,29821,38745
"Indiana Wesleyan University","Indiana","IN","Private","4 Year",8.312,25.98,34292,25980,34292
"Institute of American Indian Arts","New Mexico","NM","Public","4 Year",9.604,4.98,14584,4980,14584
"International Baptist College","Arizona","AZ","Private","4 Year",6.2,11.25,17450,11250,17450
"Iona College","New York","NY","Private","4 Year",15.278,38.812,54090,38812,54090
"Iowa Central Community College","Iowa","IA","Public","2 Year",6.85,5.49,12340,7890,14740
"Iowa Lakes Community College","Iowa","IA","Public","2 Year",6.75,6.058,12808,6388,13138
"Iowa State University","Iowa","IA","Public","4 Year",8.72,8.988,17708,23392,32112
"Iowa Wesleyan College","Iowa","IA","Private","4 Year",10.5,30.5,41000,30500,41000
"Iowa Western Community College","Iowa","IA","Public","2 Year",6.43,5.615,12045,5765,12195
"Itasca Community College","Minnesota","MN","Public","2 Year",5.92,5.92,11840,7102,13022
"Itawamba Community College","Mississippi","MS","Public","2 Year",3.9,3.02,6920,5220,9120
"Ithaca College","New York","NY","Private","4 Year",15.562,43.978,59540,43978,59540
"Jackson State University","Mississippi","MS","Public","4 Year",9.552,8.226,17778,19454,29006
"Jacksonville College","Texas","TX","Private","2 Year",6.4,8,14400,8000,14400
"Jacksonville State University","Alabama","AL","Public","4 Year",8.1,10.425,18525,20145,28245
"Jacksonville University","Florida","FL","Private","4 Year",14.08,36.67,50750,36670,50750
"James Madison University","Virginia","VA","Public","4 Year",10.092,12.016,22108,28416,38508
"Jamestown Community College","New York","NY","Public","2 Year",10.75,5.85,16600,10720,21470
"Jarvis Christian College","Texas","TX","Private","4 Year",8.44,11.72,20160,11720,20160
"Jefferson College","Missouri","MO","Public","2 Year",6.156,3.33,9486,6510,12666
"Jefferson College of Health Sciences","Virginia","VA","Private","4 Year",5.87,26.886,32756,26886,32756
"Jefferson Community College","New York","NY","Public","2 Year",11.666,5.424,17090,10176,21842
"Jewish Theological Seminary of America","New York","NY","Private","4 Year",12.57,51.326,63896,51326,63896
"John Brown University","Arkansas","AR","Private","4 Year",9.224,26.928,36152,26928,36152
"John Carroll University","Ohio","OH","Private","4 Year",11.874,41.34,53214,41340,53214
"John Paul the Great Catholic University","California","CA","Private","4 Year",7.65,26.1,33750,26100,33750
"John Wesley University","North Carolina","NC","Private","4 Year",3.6,13.33,16930,13330,16930
"Johns Hopkins University","Maryland","MD","Private","4 Year",15.836,54.24,70076,54240,70076
"Johns Hopkins University: Peabody Conservatory of Music","Maryland","MD","Private","4 Year",15.838,50.18,66018,50180,66018
"Johnson & Wales University: Charlotte","North Carolina","NC","Private","4 Year",14.148,32.091,46239,32091,46239
"Johnson & Wales University: Denver","Colorado","CO","Private","4 Year",12.546,32.091,44637,32091,44637
"Johnson & Wales University: North Miami","Florida","FL","Private","4 Year",12.564,32.091,44655,32091,44655
"Johnson & Wales University: Providence","Rhode Island","RI","Private","4 Year",14.337,32.091,46428,32091,46428
"Johnson C. Smith University","North Carolina","NC","Private","4 Year",7.1,18.236,25336,18236,25336
"Johnson College","Pennsylvania","PA","Private","2 Year",8.25,18.641,26891,18641,26891
"Johnson University","Tennessee","TN","Private","4 Year",6.7,16.06,22760,16060,22760
"Johnson University: Florida","Florida","FL","Private","4 Year",7.04,16.06,23100,16060,23100
"Jones County Junior College","Mississippi","MS","Public","2 Year",4.132,3.44,7572,5440,9572
"Judson College","Alabama","AL","Private","4 Year",10.59,18.51,29100,18510,29100
"Judson University","Illinois","IL","Private","4 Year",9.988,29.86,39848,29860,39848
"Juilliard School","New York","NY","Private","4 Year",16.95,45.36,62310,45360,62310
"Juniata College","Pennsylvania","PA","Private","4 Year",12.521,45.597,58118,45597,58118
"Kalamazoo College","Michigan","MI","Private","4 Year",9.756,48.516,58272,48516,58272
"Kansas City Art Institute","Missouri","MO","Private","4 Year",10.4,38.4,48800,38400,48800
"Kansas State University","Kansas","KS","Public","4 Year",9.68,10.263,19943,25767,35447
"Kansas Wesleyan University","Kansas","KS","Private","4 Year",9.5,29.5,39000,29500,39000
"Kean University","New Jersey","NJ","Public","4 Year",14.47,12.348,26818,19383,33853
"Keene State College","New Hampshire","NH","Public","4 Year",11.026,14.212,25238,23176,34202
"Kehilath Yakov Rabbinical Seminary","New York","NY","Private","4 Year",2.8,9.7,12500,9700,12500
"Kennesaw State University","Georgia","GA","Public","4 Year",11.467,7.432,18899,21158,32625
"Kent State University","Ohio","OH","Public","4 Year",11.362,10.012,21374,18714,30076
"Kentucky Christian University","Kentucky","KY","Private","4 Year",8.27,19.82,28090,19820,28090
"Kentucky Mountain Bible College","Kentucky","KY","Private","4 Year",5.05,9.46,14510,9460,14510
"Kentucky State University","Kentucky","KY","Public","4 Year",6.69,8.09,14780,19390,26080
"Kentucky Wesleyan College","Kentucky","KY","Private","4 Year",9.764,26.44,36204,26440,36204
"Kenyon College","Ohio","OH","Private","4 Year",12.51,55.93,68440,55930,68440
"Kettering College","Ohio","OH","Private","4 Year",4.1,16.2,20300,16200,20300
"Kettering University","Michigan","MI","Private","4 Year",8.24,43.49,51730,43490,51730
"Keuka College","New York","NY","Private","4 Year",11.906,32.093,43999,32093,43999
"Keystone College","Pennsylvania","PA","Private","4 Year",11.9,26.92,38820,26920,38820
"Kilgore College","Texas","TX","Public","2 Year",4.916,2.37,7286,6240,11156
"King University","Tennessee","TN","Private","4 Year",8.762,29.714,38476,29714,38476
"King's College","Pennsylvania","PA","Private","4 Year",12.94,37.226,50166,37226,50166
"Knox College","Illinois","IL","Private","4 Year",9.87,46.554,56424,46554,56424
"Kutztown University of Pennsylvania","Pennsylvania","PA","Public","4 Year",10.334,10.802,21136,14660,24994
"Kuyper College","Michigan","MI","Private","4 Year",7.285,21.989,29274,21989,29274
"La Roche College","Pennsylvania","PA","Private","4 Year",11.556,28.564,40120,28564,40120
"La Salle University","Pennsylvania","PA","Private","4 Year",15.08,30.56,45640,30560,45640
"La Sierra University","California","CA","Private","4 Year",8.415,32.778,41193,32778,41193
"Lackawanna College","Pennsylvania","PA","Private","2 Year",10.3,15.45,25750,15450,25750
"Lafayette College","Pennsylvania","PA","Private","4 Year",15.64,52.88,68520,52880,68520
"LaGrange College","Georgia","GA","Private","4 Year",11.63,30.47,42100,30470,42100
"Laguna College of Art and Design","California","CA","Private","4 Year",10,30.7,40700,30700,40700
"Lake Erie College","Ohio","OH","Private","4 Year",9.908,31.422,41330,31422,41330
"Lake Forest College","Illinois","IL","Private","4 Year",10.39,47.064,57454,47064,57454
"Lake Michigan College","Michigan","MI","Public","2 Year",7.252,4.5,11752,6345,13597
"Lake Region State College","North Dakota","ND","Public","2 Year",6.66,4.475,11135,4475,11135
"Lake Superior State University","Michigan","MI","Public","4 Year",9.882,12.09,21972,12090,21972
"Lakeland University","Wisconsin","WI","Private","4 Year",9.234,28.87,38104,28870,38104
"Lamar Community College","Colorado","CO","Public","2 Year",6.588,3.95,10538,6332,12920
"Lamar State College at Port Arthur","Texas","TX","Public","2 Year",8.37,5.459,13829,17820,26190
"Lamar University","Texas","TX","Public","4 Year",8.92,10.192,19112,22642,31562
"Lancaster Bible College","Pennsylvania","PA","Private","4 Year",8.75,25.27,34020,25270,34020
"Lander University","South Carolina","SC","Public","4 Year",9.1,11.7,20800,21300,30400
"Landing School of Boatbuilding and Design","Maine","ME","Private","2 Year",8.757,20.74,29497,20740,29497
"Landmark College","Vermont","VT","Private","2 Year",11.84,56.8,68640,56800,68640
"Lane College","Tennessee","TN","Private","4 Year",7.27,10.69,17960,10690,17960
"Langston University","Oklahoma","OK","Public","4 Year",9.476,5.95,15426,13300,22776
"Laramie County Community College","Wyoming","WY","Public","2 Year",7.2,3.426,10626,7938,15138
"Lasell College","Massachusetts","MA","Private","4 Year",15.4,36,51400,36000,51400
"Lassen Community College","California","CA","Public","2 Year",0.03,1.407,1437,9147,9177
"Lawrence Technological University","Michigan","MI","Private","4 Year",9.95,33.57,43520,33570,43520
"Lawrence University","Wisconsin","WI","Private","4 Year",10.341,47.475,57816,47475,57816
"Lawson State Community College","Alabama","AL","Public","2 Year",4.76,4.76,9520,8660,13420
"LDS Business College","Utah","UT","Private","2 Year",5.6,3.44,9040,3440,9040
"Le Moyne College","New York","NY","Private","4 Year",13.78,34.625,48405,34625,48405
"Lebanon Valley College","Pennsylvania","PA","Private","4 Year",11.86,43.65,55510,43650,55510
"Lee University","Tennessee","TN","Private","4 Year",7.41,17.69,25100,17690,25100
"Lees-McRae College","North Carolina","NC","Private","4 Year",11.078,26.198,37276,26198,37276
"Lehigh University","Pennsylvania","PA","Private","4 Year",13.6,52.93,66530,52930,66530
"LeMoyne-Owen College","Tennessee","TN","Private","4 Year",6.1,11.196,17296,11196,17296
"Lenoir-Rhyne University","North Carolina","NC","Private","4 Year",12.51,36.4,48910,36400,48910
"Lesley University","Massachusetts","MA","Private","4 Year",16.23,28.77,45000,28770,45000
"LeTourneau University","Texas","TX","Private","4 Year",9.97,30.21,40180,30210,40180
"Lewis & Clark College","Oregon","OR","Private","4 Year",12.49,50.934,63424,50934,63424
"Lewis University","Illinois","IL","Private","4 Year",10.578,32.45,43028,32450,43028
"Lewis-Clark State College","Idaho","ID","Public","4 Year",7.58,6.618,14198,19236,26816
"Liberty University","Virginia","VA","Private","4 Year",10.478,25.276,35754,25276,35754
"Life Pacific College","California","CA","Private","4 Year",8.39,15.804,24194,15804,24194
"Life University","Georgia","GA","Private","4 Year",14.4,13.194,27594,13194,27594
"LIM College","New York","NY","For Profit","4 Year",20.35,27.03,47380,27030,47380
"Limestone College","South Carolina","SC","Private","4 Year",9.765,26,35765,26000,35765
"Lincoln Christian University","Illinois","IL","Private","4 Year",7.564,13.2,20764,13200,20764
"Lincoln College","Illinois","IL","Private","2 Year",7.7,18.6,26300,18600,26300
"Lincoln Memorial University","Tennessee","TN","Private","4 Year",8,22.01,30010,22010,30010
"Lincoln University","Pennsylvania","PA","Public","4 Year",9.588,11.666,21254,16802,26390
"Lincoln University","Missouri","MO","Public","4 Year",7.068,7.632,14700,14172,21240
"Lindenwood University","Missouri","MO","Private","4 Year",9,17.6,26600,17600,26600
"Lindsey Wilson College","Kentucky","KY","Private","4 Year",9.385,24.85,34235,24850,34235
"Linfield College","Oregon","OR","Private","4 Year",12.42,43.232,55652,43232,55652
"Lipscomb University","Tennessee","TN","Private","4 Year",12.652,32.144,44796,32144,44796
"Little Priest Tribal College","Nebraska","NE","Private","2 Year",6.99,5.13,12120,5130,12120
"LIU Brooklyn","New York","NY","Private","4 Year",14.02,37.715,51735,37715,51735
"LIU Post","New York","NY","Private","4 Year",14.02,37.715,51735,37715,51735
"Livingstone College","North Carolina","NC","Private","4 Year",6.794,18.297,25091,18297,25091
"Lock Haven University of Pennsylvania","Pennsylvania","PA","Public","4 Year",10.368,10.878,21246,20452,30820
"Loma Linda University","California","CA","Private","4 Year",11.655,35.192,46847,35192,46847
"Longwood University","Virginia","VA","Public","4 Year",11.746,13.34,25086,29300,41046
"Loras College","Iowa","IA","Private","4 Year",8.275,34.184,42459,34184,42459
"Louisburg College","North Carolina","NC","Private","2 Year",10.709,18.581,29290,18581,29290
"Louisiana College","Louisiana","LA","Private","4 Year",5.618,17,22618,17000,22618
"Louisiana State University and Agricultural and Mechanical College","Louisiana","LA","Public","4 Year",11.83,11.95,23780,28627,40457
"Louisiana State University at Eunice","Louisiana","LA","Public","2 Year",5.214,6.5,11714,11864,17078
"Louisiana State University Health Sciences Center New Orleans","Louisiana","LA","Public","4 Year",5.65,6.923,12573,13705,19355
"Louisiana Tech University","Louisiana","LA","Public","4 Year",6.495,9.645,16140,18558,25053
"Lourdes University","Ohio","OH","Private","4 Year",10.1,22.48,32580,22480,32580
"Loyola Marymount University","California","CA","Private","4 Year",14.49,48.522,63012,48522,63012
"Loyola University Chicago","Illinois","IL","Private","4 Year",14.48,44.048,58528,44048,58528
"Loyola University Maryland","Maryland","MD","Private","4 Year",14.43,49.085,63515,49085,63515
"Loyola University New Orleans","Louisiana","LA","Private","4 Year",13.38,39.692,53072,39692,53072
"Lubbock Christian University","Texas","TX","Private","4 Year",7.702,22.44,30142,22440,30142
"Luther College","Iowa","IA","Private","4 Year",9.46,42.29,51750,42290,51750
"Lycoming College","Pennsylvania","PA","Private","4 Year",12.568,40.315,52883,40315,52883
"Lyndon State College","Vermont","VT","Public","4 Year",10.598,12.074,22672,25394,35992
"Lynn University","Florida","FL","Private","4 Year",12.17,38.21,50380,38210,50380
"Lyon College","Arkansas","AR","Private","4 Year",9.13,28.79,37920,28790,37920
"Macalester College","Minnesota","MN","Private","4 Year",12.156,54.344,66500,54344,66500
"MacMurray College","Illinois","IL","Private","4 Year",9.44,27.69,37130,27690,37130
"Madonna University","Michigan","MI","Private","4 Year",9.95,21.9,31850,21900,31850
"Maharishi University of Management","Iowa","IA","Private","4 Year",7.4,16.53,23930,16530,23930
"Maine College of Art","Maine","ME","Private","4 Year",11.89,35,46890,35000,46890
"Maine College of Health Professions","Maine","ME","Private","2 Year",1.9,9.31,11210,9310,11210
"Maine Maritime Academy","Maine","ME","Public","4 Year",10.31,13.478,23788,27098,37408
"Malone University","Ohio","OH","Private","4 Year",9.5,30.86,40360,30860,40360
"Manchester University","Indiana","IN","Private","4 Year",9.58,32.758,42338,32758,42338
"Manhattan Christian College","Kansas","KS","Private","4 Year",9.092,15.85,24942,15850,24942
"Manhattan College","New York","NY","Private","4 Year",16.2,43.48,59680,43480,59680
"Manhattan School of Music","New York","NY","Private","4 Year",13.135,47.3,60435,47300,60435
"Manhattanville College","New York","NY","Private","4 Year",14.52,38.82,53340,38820,53340
"Manor College","Pennsylvania","PA","Private","2 Year",7.729,17.028,24757,17028,24757
"Mansfield University of Pennsylvania","Pennsylvania","PA","Public","4 Year",11.928,12.33,24258,21780,33708
"Maranatha Baptist University","Wisconsin","WI","Private","4 Year",7.1,15.41,22510,15410,22510
"Marian University","Wisconsin","WI","Private","4 Year",7.222,27.4,34622,27400,34622
"Marian University","Indiana","IN","Private","4 Year",10.64,34,44640,34000,44640
"Marietta College","Ohio","OH","Private","4 Year",11.32,36.04,47360,36040,47360
"Marion Military Institute","Alabama","AL","Public","2 Year",4.95,9.418,14368,15418,20368
"Marist College","New York","NY","Private","4 Year",15.55,39.6,55150,39600,55150
"Marlboro College","Vermont","VT","Private","4 Year",12.285,40.84,53125,40840,53125
"Marquette University","Wisconsin","WI","Private","4 Year",12.72,41.87,54590,41870,54590
"Mars Hill University","North Carolina","NC","Private","4 Year",9.592,32.968,42560,32968,42560
"Marshall University","West Virginia","WV","Public","4 Year",10.45,8.128,18578,18614,29064
"Martin Luther College","Minnesota","MN","Private","4 Year",6.08,15.41,21490,15410,21490
"Martin Methodist College","Tennessee","TN","Private","4 Year",8.4,24.246,32646,24246,32646
"Martin University","Indiana","IN","Private","4 Year",7.81,16.5,24310,16500,24310
"Mary Baldwin University","Virginia","VA","Private","4 Year",9.41,31.085,40495,31085,40495
"Marygrove College","Michigan","MI","Private","4 Year",7.8,23.63,31430,23630,31430
"Maryland Institute College of Art","Maryland","MD","Private","4 Year",13.28,48.63,61910,48630,61910
"Marymount California University","California","CA","Private","4 Year",14.666,36.134,50800,36134,50800
"Marymount Manhattan College","New York","NY","Private","4 Year",16.832,33.778,50610,33778,50610
"Marymount University","Virginia","VA","Private","4 Year",13.19,31.466,44656,31466,44656
"Maryville College","Tennessee","TN","Private","4 Year",11.424,34.88,46304,34880,46304
"Maryville University of Saint Louis","Missouri","MO","Private","4 Year",10.088,28.47,38558,28470,38558
"Marywood University","Pennsylvania","PA","Private","4 Year",13.9,34.91,48810,34910,48810
"Massachusetts College of Art and Design","Massachusetts","MA","Public","4 Year",13.5,13.2,26700,36400,49900
"Massachusetts College of Liberal Arts","Massachusetts","MA","Public","4 Year",10.98,10.734,21714,19679,30659
"Massachusetts Institute of Technology","Massachusetts","MA","Private","4 Year",15.51,51.832,67342,51832,67342
"Massachusetts Maritime Academy","Massachusetts","MA","Public","4 Year",12.675,9.724,22399,26102,38777
"Mayville State University","North Dakota","ND","Public","4 Year",7.84,6.666,14506,9399,17239
"McDaniel College","Maryland","MD","Private","4 Year",11.43,43.26,54690,43260,54690
"McKendree University","Illinois","IL","Private","4 Year",9.92,30.52,40440,30520,40440
"McMurry University","Texas","TX","Private","4 Year",8.602,27.244,35846,27244,35846
"McNally Smith College of Music","Minnesota","MN","Private","4 Year",6.26,29.3,35560,29300,35560
"McNeese State University","Louisiana","LA","Public","4 Year",8.704,7.859,16563,18934,27638
"McPherson College","Kansas","KS","Private","4 Year",8.788,28.951,37739,28951,37739
"MCPHS University","Massachusetts","MA","Private","4 Year",16.4,32.705,49105,32705,49105
"Medaille College","New York","NY","Private","4 Year",13.5,29.5,43000,29500,43000
"Memphis College of Art","Tennessee","TN","Private","4 Year",8.89,33.1,41990,33100,41990
"Menlo College","California","CA","Private","4 Year",14.225,42.8,57025,42800,57025
"Mercer University","Georgia","GA","Private","4 Year",11.616,36.894,48510,36894,48510
"Mercy College","New York","NY","Private","4 Year",14.4,19.042,33442,19042,33442
"Mercyhurst University","Pennsylvania","PA","Private","4 Year",12.88,38.07,50950,38070,50950
"Meredith College","North Carolina","NC","Private","4 Year",10.93,37.176,48106,37176,48106
"Merrimack College","Massachusetts","MA","Private","4 Year",15.845,41.76,57605,41760,57605
"Mesabi Range College","Minnesota","MN","Public","2 Year",5.526,5.084,10610,6266,11792
"Mesalands Community College","New Mexico","NM","Public","2 Year",3.975,2.25,6225,3630,7605
"Mesivta Torah Vodaath Seminary","New York","NY","Private","4 Year",4.5,10,14500,10000,14500
"Messiah College","Pennsylvania","PA","Private","4 Year",10.52,35.16,45680,35160,45680
"Methodist College","Illinois","IL","Private","4 Year",7.44,20.8,28240,20800,28240
"Methodist University","North Carolina","NC","Private","4 Year",12.89,33.846,46736,33846,46736
"Metropolitan Community College","Nebraska","NE","Public","2 Year",6.255,3.105,9360,4545,10800
"Miami University: Oxford","Ohio","OH","Public","4 Year",13.86,15.378,29238,34895,48755
"Michigan State University","Michigan","MI","Public","4 Year",10.322,14.46,24782,39765,50087
"Michigan Technological University","Michigan","MI","Public","4 Year",10.756,15.646,26402,33726,44482
"Mid-America Christian University","Oklahoma","OK","Private","4 Year",8.036,18.334,26370,18334,26370
"Mid-Atlantic Christian University","North Carolina","NC","Private","4 Year",8.6,14.4,23000,14400,23000
"Mid-Plains Community College","Nebraska","NE","Public","2 Year",6.45,3.21,9660,4130,10580
"MidAmerica Nazarene University","Kansas","KS","Private","4 Year",8.708,30.736,39444,30736,39444
"Middle Georgia State University","Georgia","GA","Public","4 Year",9.08,4.608,13688,13568,22648
"Middle Tennessee State University","Tennessee","TN","Public","4 Year",9.436,9.206,18642,28364,37800
"Middlebury College","Vermont","VT","Private","4 Year",15.53,54.45,69980,54450,69980
"Midland College","Texas","TX","Public","2 Year",5.224,2.67,7894,5550,10774
"Midland University","Nebraska","NE","Private","4 Year",8.776,32.558,41334,32558,41334
"Midway University","Kentucky","KY","Private","4 Year",8.48,24.65,33130,24650,33130
"Midwestern State University","Texas","TX","Public","4 Year",8.877,9.019,17896,10969,19846
"Miles College","Alabama","AL","Private","4 Year",7.042,11.604,18646,11604,18646
"Miles Community College","Montana","MT","Public","2 Year",6.28,4.23,10510,8820,15100
"Millersville University of Pennsylvania","Pennsylvania","PA","Public","4 Year",13.658,12.226,25884,21946,35604
"Milligan College","Tennessee","TN","Private","4 Year",7.1,33.7,40800,33700,40800
"Millikin University","Illinois","IL","Private","4 Year",11.818,35.102,46920,35102,46920
"Mills College","California","CA","Private","4 Year",13.448,30.257,43705,30257,43705
"Millsaps College","Mississippi","MS","Private","4 Year",13.73,39.91,53640,39910,53640
"Milwaukee Institute of Art & Design","Wisconsin","WI","Private","4 Year",9.3,37.36,46660,37360,46660
"Milwaukee School of Engineering","Wisconsin","WI","Private","4 Year",10.389,40.749,51138,40749,51138
"Mineral Area College","Missouri","MO","Public","2 Year",7.42,3.67,11090,6430,13850
"Minneapolis College of Art and Design","Minnesota","MN","Private","4 Year",5.61,39.21,44820,39210,44820
"Minneapolis Community and Technical College","Minnesota","MN","Public","2 Year",11.058,5.396,16454,5396,16454
"Minnesota State Community and Technical College","Minnesota","MN","Public","2 Year",5,5.358,10358,5358,10358
"Minnesota State University Mankato","Minnesota","MN","Public","4 Year",8.719,8.184,16903,16235,24954
"Minnesota State University Moorhead","Minnesota","MN","Public","4 Year",9.28,8.574,17854,15983,25263
"Minot State University","North Dakota","ND","Public","4 Year",6.61,7.064,13674,7064,13674
"Mirrer Yeshiva Central Institute","New York","NY","Private","4 Year",6.172,7.26,13432,7260,13432
"Misericordia University","Pennsylvania","PA","Private","4 Year",13.96,33.24,47200,33240,47200
"Mississippi College","Mississippi","MS","Private","4 Year",10.3,18.026,28326,18026,28326
"Mississippi Delta Community College","Mississippi","MS","Public","2 Year",3.48,3.06,6540,4668,8148
"Mississippi Gulf Coast Community College","Mississippi","MS","Public","2 Year",4.7,3.32,8020,6420,11120
"Mississippi State University","Mississippi","MS","Public","4 Year",10.09,8.76,18850,23360,33450
"Mississippi University for Women","Mississippi","MS","Public","4 Year",7.424,7.04,14464,7040,14464
"Mississippi Valley State University","Mississippi","MS","Public","4 Year",8.043,6.57,14613,6570,14613
"Missouri Baptist University","Missouri","MO","Private","4 Year",8.72,27.124,35844,27124,35844
"Missouri Southern State University","Missouri","MO","Public","4 Year",6.865,6.967,13832,13934,20799
"Missouri State University","Missouri","MO","Public","4 Year",8.755,7.452,16207,15342,24097
"Missouri State University: West Plains","Missouri","MO","Public","2 Year",8.537,4.305,12842,8355,16892
"Missouri University of Science and Technology","Missouri","MO","Public","4 Year",10.274,10.169,20443,28499,38773
"Missouri Valley College","Missouri","MO","Private","4 Year",9.15,20.6,29750,20600,29750
"Mitchell College","Connecticut","CT","Private","4 Year",13,33.2,46200,33200,46200
"Moberly Area Community College","Missouri","MO","Public","2 Year",7.872,3.45,11322,6840,14712
"Mohawk Valley Community College","New York","NY","Public","2 Year",10.47,5.256,15726,9626,20096
"Molloy College","New York","NY","Private","4 Year",15.032,31.49,46522,31490,46522
"Monmouth College","Illinois","IL","Private","4 Year",8.966,37.674,46640,37674,46640
"Monmouth University","New Jersey","NJ","Private","4 Year",13.981,38.138,52119,38138,52119
"Monroe College","New York","NY","For Profit","4 Year",10.85,15.428,26278,15428,26278
"Monroe Community College","New York","NY","Public","2 Year",6.78,4.986,11766,9466,16246
"Montana Bible College","Montana","MT","Private","4 Year",3.2,8.12,11320,8120,11320
"Montana State University","Montana","MT","Public","4 Year",10.1,7.421,17521,24849,34949
"Montana State University: Billings","Montana","MT","Public","4 Year",7.68,5.93,13610,19250,26930
"Montana State University: Northern","Montana","MT","Public","4 Year",6.52,5.956,12476,18556,25076
"Montana Tech of the University of Montana","Montana","MT","Public","4 Year",9.656,7.411,17067,22574,32230
"Montclair State University","New Jersey","NJ","Public","4 Year",15.564,12.79,28354,20578,36142
"Montreat College","North Carolina","NC","Private","4 Year",9.149,26.67,35819,26670,35819
"Montserrat College of Art","Massachusetts","MA","Private","4 Year",9.9,33.4,43300,33400,43300
"Moody Bible Institute","Illinois","IL","Private","4 Year",11.82,13.565,25385,13565,25385
"Moore College of Art and Design","Pennsylvania","PA","Private","4 Year",15.564,41.728,57292,41728,57292
"Moravian College","Pennsylvania","PA","Private","4 Year",13.378,43.636,57014,43636,57014
"Morehead State University","Kentucky","KY","Public","4 Year",9.96,9.17,19130,13646,23606
"Morehouse College","Georgia","GA","Private","4 Year",13.438,27.574,41012,27574,41012
"Morgan State University","Maryland","MD","Public","4 Year",10.26,7.9,18160,18167,28427
"Morningside College","Iowa","IA","Private","4 Year",9.61,31.53,41140,31530,41140
"Morris College","South Carolina","SC","Private","4 Year",6.033,13.886,19919,13886,19919
"Morrison Institute of Technology","Illinois","IL","Private","2 Year",5.2,16.1,21300,16100,21300
"Mount Aloysius College","Pennsylvania","PA","Private","4 Year",10.648,23.11,33758,23110,33758
"Mount Carmel College of Nursing","Ohio","OH","Private","4 Year",5,13.907,18907,13907,18907
"Mount Holyoke College","Massachusetts","MA","Private","4 Year",14.66,49.998,64658,49998,64658
"Mount Ida College","Massachusetts","MA","Private","4 Year",13.68,35.72,49400,35720,49400
"Mount Marty College","South Dakota","SD","Private","4 Year",7.986,27.276,35262,27276,35262
"Mount Mary University","Wisconsin","WI","Private","4 Year",8.6,30.1,38700,30100,38700
"Mount Mercy University","Iowa","IA","Private","4 Year",9.534,31.798,41332,31798,41332
"Mount Saint Mary College","New York","NY","Private","4 Year",15.108,31.118,46226,31118,46226
"Mount Saint Mary's University","California","CA","Private","4 Year",12.235,41.17,53405,41170,53405
"Mount St. Joseph University","Ohio","OH","Private","4 Year",9.442,30.1,39542,30100,39542
"Mount St. Mary's University","Maryland","MD","Private","4 Year",13.075,41.35,54425,41350,54425
"Mount Vernon Nazarene University","Ohio","OH","Private","4 Year",8.17,29.244,37414,29244,37414
"Muhlenberg College","Pennsylvania","PA","Private","4 Year",11.765,52.595,64360,52595,64360
"Multnomah University","Oregon","OR","Private","4 Year",8.87,25.9,34770,25900,34770
"Murray State College","Oklahoma","OK","Public","2 Year",6.8,4.82,11620,10970,17770
"Murray State University","Kentucky","KY","Public","4 Year",9.19,9.084,18274,24540,33730
"Muskingum University","Ohio","OH","Private","4 Year",11.48,28.516,39996,28516,39996
"Naropa University","Colorado","CO","Private","4 Year",12.849,31.79,44639,31790,44639
"Navajo Technical University","New Mexico","NM","Public","2 Year",6.27,2.36,8630,2360,8630
"Navarro College","Texas","TX","Public","2 Year",5.618,2.4,8018,5400,11018
"Nazareth College","New York","NY","Private","4 Year",13.58,34.28,47860,34280,47860
"Nebraska Christian College","Nebraska","NE","Private","4 Year",9.02,17.665,26685,17665,26685
"Nebraska College of Technical Agriculture","Nebraska","NE","Public","2 Year",7.418,5.036,12454,5036,12454
"Nebraska Methodist College of Nursing and Allied Health","Nebraska","NE","Private","4 Year",9.586,18.048,27634,18048,27634
"Nebraska Wesleyan University","Nebraska","NE","Private","4 Year",9.622,34.202,43824,34202,43824
"Neosho County Community College","Kansas","KS","Public","2 Year",6.1,3.12,9220,3120,9220
"Ner Israel Rabbinical College","Maryland","MD","Private","4 Year",6.6,12.4,19000,12400,19000
"Neumann University","Pennsylvania","PA","Private","4 Year",13.02,31.4,44420,31400,44420
"Neumont College of Computer Science","Utah","UT","For Profit","4 Year",5.97,24.75,30720,24750,30720
"New College of Florida","Florida","FL","Public","4 Year",9.264,6.919,16183,29944,39208
"New England College","New Hampshire","NH","Private","4 Year",14.222,37.914,52136,37914,52136
"New England Conservatory of Music","Massachusetts","MA","Private","4 Year",15.9,48.75,64650,48750,64650
"New England Culinary Institute","Vermont","VT","For Profit","2 Year",10.466,22.21,32676,22210,32676
"New England Institute of Technology","Rhode Island","RI","Private","4 Year",13.065,29.94,43005,29940,43005
"New Hampshire Institute of Art","New Hampshire","NH","Private","4 Year",11.46,28.28,39740,28280,39740
"New Hope Christian College","Oregon","OR","Private","4 Year",6.3,14.88,21180,14880,21180
