"name","state","state_code","type","degree_length","room_and_board","in_state_tuition","in_state_total","out_of_state_tuition","out_of_state_total"
"Bismarck State College","North Dakota","ND","Public","2 Year",7.794,4.79,12584,6785,14579
"Black Hills State University","South Dakota","SD","Public","4 Year",6.978,8.733,15711,11778,18756
"Blackburn College","Illinois","IL","Private","4 Year",7.93,22.41,30340,22410,30340
"Blackfeet Community College","Montana","MT","Public","2 Year",6.787,3.59,10377,3590,10377
"Blinn College","Texas","TX","Public","2 Year",8.103,3.54,11643,10050,18153
"Bloomfield College","New Jersey","NJ","Private","4 Year",11.95,29.55,41500,29550,41500
"Bloomsburg University of Pennsylvania","Pennsylvania","PA","Public","4 Year",9.686,10.958,20644,22532,32218
"Blue Mountain College","Mississippi","MS","Private","4 Year",6.294,12.584,18878,12584,18878
"Bluefield College","Virginia","VA","Private","4 Year",9.024,25.29,34314,25290,34314
"Bluffton University","Ohio","OH","Private","4 Year",10.8,32.766,43566,32766,43566
"Bob Jones University","South Carolina","SC","Private","4 Year",6.976,18.15,25126,18150,25126
"Boise Bible College","Idaho","ID","Private","4 Year",6.2,12.52,18720,12520,18720
"Boise State University","Idaho","ID","Public","4 Year",10.692,7.694,18386,23776,34468
"Boston Architectural College","Massachusetts","MA","Private","4 Year",13.28,21.894,35174,21894,35174
"Boston Baptist College","Massachusetts","MA","Private","4 Year",7.81,12.6,20410,12600,20410
"Boston College","Massachusetts","MA","Private","4 Year",14.478,55.464,69942,55464,69942
"Boston Conservatory at Berklee","Massachusetts","MA","Private","4 Year",18.36,46.02,64380,46020,64380
"Boston University","Massachusetts","MA","Private","4 Year",15.72,53.948,69668,53948,69668
"Bowdoin College","Maine","ME","Private","4 Year",14.698,53.922,68620,53922,68620
"Bowie State University","Maryland","MD","Public","4 Year",10.904,8.233,19137,18873,29777
"Bowling Green State University","Ohio","OH","Public","4 Year",9.168,11.105,20273,19093,28261
"Bradley University","Illinois","IL","Private","4 Year",10.62,33.76,44380,33760,44380
